"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA"
"47","MALLAU",10,2022-08-09,30.827,27.645,0.527209604597072,0.472790395402928,188.909008601177,0.222,3.191,1.1045,177.646817669366,3.327,2.709,0.9757,6.37686123592846,183.626574367849,0.346129739893451,0.360169804355851,4.11926621748668,19.4095313894,9.00900900900901,0.0569050317517297,17.5731384240833
"48","MALLAU",2,2022-07-13,28.735,25.725,0.527634961439589,0.472365038560411,137.852083676496,0.238,2.88800000000001,1.2142,137.927414517097,3.536,3.173,1.3336,5.87280240997035,137.891514247587,0.420429362880885,0.420296249606051,4.84897285318559,19.0970567456,8.40336134453782,0.0635804781948796,15.7280981268325
"49","MALLAU",3,2022-07-13,23.764,20.78,0.533494971264368,0.466505028735632,121.84517497349,0.238,1.046,0.471499999999999,155.747126436782,2.684,2.047,0.8004,7.91886280409439,143.179495243337,0.450764818355639,0.391011235955056,3.28370076481835,7.378912386,8.40336134453781,0.0638983057848166,15.6498672025451
"50","MALLAU",4,2022-07-13,37.645,33.107,0.532069764812302,0.467930235187698,125.530458590006,0.244,4.61299999999999,2.0454,122.481454893515,3.999,3.719,1.6716,5.23837714179816,124.159268227065,0.443399089529591,0.449475665501479,6.12676722306525,29.759739662,8.19672131147541,0.0687304399578387,14.5495940461523
"51","MALLAU",5,2022-07-13,34.761,28.245,0.551709361013237,0.448290638986763,148.366803774498,0.3,2.053,0.826599999999999,160.999572832123,3.539,3.666,1.4046,6.67578254708869,156.319469343851,0.402630297126156,0.383142389525369,5.17676950803702,10.2416237256,6.66666666666667,0.0807098583336768,12.3900601567869
"52","MALLAU",6,2022-08-09,21.548,20.026,0.518304709674316,0.481695290325684,117.619603267212,0.218,2.238,1.0284,144.255319148936,2.7,1.435,0.5875,7.87457292916338,127.303669781546,0.459517426273458,0.409407665505227,2.72591117068811,13.6718867644,9.1743119266055,0.0752200495602283,13.2943278533645
"53","MALLAU",7,2022-08-09,31.38,28.203,0.52666028900861,0.47333971099139,140.485098696943,0.274,3.72800000000001,1.5502,170.43217800599,3.011,2.528,0.934800000000001,7.34154114674568,151.750503018109,0.415826180257509,0.369778481012659,4.32895107296137,26.5866926976,7.2992700729927,0.0583073651782169,17.150491999484
"54","MALLAU",8,2022-08-09,25.144,23.23,0.519783354694671,0.480216645305329,182.337911210478,0.254,1.76800000000001,0.626199999999997,187.878787878787,2.604,1.843,0.640200000000002,8.09123792492428,185.138976626659,0.354185520361988,0.347368421052633,2.83130407239819,14.720528975,7.8740157480315,0.0425392321881556,23.5077115538168
"55","MALLAU",9,2022-08-09,34.96,31.592,0.52530352205794,0.47469647794206,123.771539913536,0.3,3.675,1.6423,139.659926470588,4.212,4.172,1.7408,5.00282866514603,131.947030829712,0.446884353741497,0.417257909875359,6.28798707482993,18.4142044798,6.66666666666667,0.089186584291576,11.2124486876941
"56","ARCDEN",1,2022-08-10,20.347,19.505,0.510564087122353,0.489435912877647,251.069119840875,0.514,0.706000000000001,0.2011,166.14832535885,2.25,0.445,0.167200000000001,8.92377379139021,212.516969861525,0.284844192634561,0.375730337078654,0.882927195467424,2.5020251432,3.89105058365759,0.0803748917338219,12.4416963858777
